text,label
Congratulations! You won a $1000 gift card. Click here to claim your prize now.,phishing
Your account will be suspended today. Verify your password immediately at http://secure-login-example.com.,phishing
Urgent: unusual activity detected. Confirm your bank account information using the link below.,phishing
You have received an invoice. Open the attached link and enter your credentials to avoid cancellation.,phishing
Your mailbox is almost full. Sign in now to increase your storage quota.,phishing
Final warning: your payment failed. Update your card details immediately.,phishing
Claim your exclusive reward by clicking this link and confirming your identity.,phishing
Security alert: your account was accessed from a new location. Verify your login here.,phishing
You are selected for a cash reward. Provide your personal details to receive it.,phishing
Your subscription has expired. Enter your billing information to restore access.,phishing
Important tax refund notice. Click the link to submit your bank details.,phishing
Your password expires today. Login immediately to keep your account active.,phishing
Free vacation offer! Confirm your credit card information to reserve your place.,phishing
We detected a problem with your account. Verify your identity at http://account-check-example.com.,phishing
You have an unpaid delivery fee. Pay now using the secure link to receive your package.,phishing
Urgent request from the finance department: send the confidential payment details today.,phishing
Your email account has been compromised. Reset your password using this link immediately.,phishing
Lottery winner notification: send your information to process the prize.,phishing
Click here to unlock your account after suspicious login activity.,phishing
Your online banking access is limited. Confirm your PIN and account information now.,phishing
Team meeting is scheduled for tomorrow at 10 AM in Conference Room A.,safe
Please review the project report before Friday's meeting.,safe
Your monthly electricity bill is available in your customer portal.,safe
The library will be closed on Sunday for routine maintenance.,safe
Thanks for attending today's training session. The slides are attached.,safe
Your order has been shipped and can be tracked from your official customer account.,safe
The department meeting has been moved to 3 PM on Wednesday.,safe
Please submit your weekly timesheet by the end of the day.,safe
The school has published the examination timetable on its official website.,safe
Your appointment is confirmed for Monday at 11 AM.,safe
Here are the notes from yesterday's project discussion.,safe
The quarterly newsletter is now available for employees.,safe
Please find the approved budget document attached for your review.,safe
Your support ticket has been updated by our customer service team.,safe
The office will reopen after the scheduled maintenance period.,safe
Reminder: your scheduled payment will be processed on the normal due date.,safe
The project repository has been updated with the latest documentation.,safe
Thank you for registering for the workshop. We look forward to seeing you.,safe
Your delivery is scheduled for tomorrow between 2 PM and 5 PM.,safe
Please review the meeting agenda and send your feedback.,safe
